2020-07-17 08:26:07.937 INFO _internal - _log:  * Running on http://0.0.0.0:8084/ (Press CTRL+C to quit)
2020-07-17 08:26:07.938 INFO _internal - _log:  * Restarting with stat
2020-07-17 08:28:21.525 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:07:28.234 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:07:51.289 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:08:00.447 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:08:57.945 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:09:18.604 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:10:05.315 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:12:54.596 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:13:33.783 INFO _internal - _log:  * Restarting with stat
