2020-10-01 10:43:50.857 INFO _internal - _log:  * Running on http://0.0.0.0:8084/ (Press CTRL+C to quit)
2020-10-01 10:43:50.872 INFO _internal - _log:  * Restarting with stat
2020-10-01 10:47:43.710 INFO _internal - _log:  * Restarting with stat
2020-10-01 10:52:25.624 INFO _internal - _log:  * Restarting with stat
2020-10-01 10:52:57.498 INFO _internal - _log:  * Restarting with stat
2020-10-01 10:55:26.237 INFO _internal - _log:  * Restarting with stat
2020-10-01 11:01:38.474 INFO _internal - _log:  * Restarting with stat
2020-10-01 14:21:17.771 INFO _internal - _log:  * Restarting with stat
2020-10-01 14:23:41.898 INFO _internal - _log:  * Restarting with stat
2020-10-01 14:32:55.486 INFO _internal - _log:  * Restarting with stat
